Monitoring point coding,Monitoring point name,city,longitude,latitude,region,GADM
1338A,Hunan Normal University,Changsha,112.9394,28.19,Hunan,CN.HN
1339A,Yuhua District Environmental Protection Bureau,Changsha,113.0178,28.1322,Hunan,CN.HN
1340A,Wujialing,Changsha,112.9792,28.2597,Hunan,CN.HN
1341A,New train station,Changsha,113.0014,28.1944,Hunan,CN.HN
1342A,Tianxin District Environmental Protection Bureau,Changsha,112.9844,28.1178,Hunan,CN.HN
1343A,Hunan University of Traditional Chinese Medicine,Changsha,112.8908,28.1308,Hunan,CN.HN
1344A,Shaping (control point),Changsha,112.9581,28.3611,Hunan,CN.HN
1345A,Guangya Middle School,Guangzhou,113.2347,23.1423,Guangdong,CN.GD
1346A,City No. 5 Middle School,Guangzhou,113.2612,23.105,Guangdong,CN.GD
1347A,Tianhe Vocational School,Guangzhou,,,Guangdong,CN.GD
1348A,Guangdong Business School,Guangzhou,113.3478,23.0916,Guangdong,CN.GD
1349A,No. 86 Middle School,Guangzhou,113.4332,23.1047,Guangdong,CN.GD
1350A,Panyu Middle School,Guangzhou,113.3505,22.9483,Guangdong,CN.GD
1351A,Huadu Normal University,Guangzhou,113.2146,23.3916,Guangdong,CN.GD
1352A,City Monitoring Station,Guangzhou,113.2597,23.1331,Guangdong,CN.GD
1353A,Jiulong Town Zhenlong,Guangzhou,113.5618,23.312,Guangdong,CN.GD
1354A,Luhu,Guangzhou,113.2765,23.1544,Guangdong,CN.GD
1355A,Maofeng Mountain Forest Park (comparison point),Guangzhou,113.443,23.3035,Guangdong,CN.GD
1356A,Tongxinlingzi Station,Shenzhen,114.1063,22.5545,Guangdong,CN.GD
1357A,Honghu,Shenzhen,114.117,22.5625,Guangdong,CN.GD
1358A,Overseas Chinese Town,Shenzhen,113.987,22.5417,Guangdong,CN.GD
1359A,Nanhaizi Station,Shenzhen,113.9181,22.5171,Guangdong,CN.GD
1360A,Yantian,Shenzhen,114.2458,22.5689,Guangdong,CN.GD
1361A,Longgang,Shenzhen,114.2283,22.7244,Guangdong,CN.GD
1362A,Xixiang,Shenzhen,113.8953,22.5861,Guangdong,CN.GD
1363A,South Australia,Shenzhen,114.494,22.5422,Guangdong,CN.GD
1364A,Kwai Chung,Shenzhen,114.41,22.6342,Guangdong,CN.GD
1365A,Mesa,Shenzhen,114.297,22.5978,Guangdong,CN.GD
1366A,Guanlan,Shenzhen,114.0678,22.738,Guangdong,CN.GD
1367A,Jida,Zhuhai,113.5814,22.2618,Guangdong,CN.GD
1368A,Qianshan,Zhuhai,113.4881,22.2335,Guangdong,CN.GD
1369A,Tang Family,Zhuhai,113.628,22.4251,Guangdong,CN.GD
1370A,Doumen,Zhuhai,113.299,22.2281,Guangdong,CN.GD
1371A,Bay beam,Foshan,113.1294,23.0067,Guangdong,CN.GD
1372A,Huacai Vocational School,Foshan,113.1083,23.0478,Guangdong,CN.GD
1373A,Nanhai Meteorological Bureau,Foshan,113.144,23.0453,Guangdong,CN.GD
1374A,"Sugang, Shunde",Foshan,113.2881,22.8094,Guangdong,CN.GD
1375A,Ronggui Street Office,Foshan,113.2544,22.7642,Guangdong,CN.GD
1376A,Gaoming Kongtang,Foshan,112.8383,22.8678,Guangdong,CN.GD
1377A,Sanshui Monitoring Station,Foshan,112.8836,23.1588,Guangdong,CN.GD
1378A,Sanshui Yundonghai,Foshan,112.867,23.185,Guangdong,CN.GD
1379A,Wah Park,Zhongshan,113.3769,22.5211,Guangdong,CN.GD
1380A,Zhang Xi,Zhongshan,113.3881,22.5497,Guangdong,CN.GD
1381A,Zimaling,Zhongshan,113.4075,22.5111,Guangdong,CN.GD
1382A,Yangtze River Tourist Area (control point),Zhongshan,113.4411,22.4853,Guangdong,CN.GD
1383A,North Street,Jiangmen,113.1064,22.6058,Guangdong,CN.GD
1384A,West End,Jiangmen,113.0731,22.5835,Guangdong,CN.GD
1385A,Guifeng West,Jiangmen,113.0219,22.5311,Guangdong,CN.GD
1386A,East Lake,Jiangmen,113.0828,22.5947,Guangdong,CN.GD
1387A,Dongcheng Main Mountain,Dongguan,113.7875,23.0457,Guangdong,CN.GD
1388A,Nancheng Yuanling,Dongguan,113.7533,23.0202,Guangdong,CN.GD
1389A,Guancheng Lichuan,Dongguan,113.7547,23.0494,Guangdong,CN.GD
1390A,Dongcheng Ishii,Dongguan,113.7944,23.0128,Guangdong,CN.GD
1391A,Nancheng Xiping,Dongguan,113.7383,22.9658,Guangdong,CN.GD
1392A,"Jinshan Lake Station, Henan Bank",Huizhou,114.4183,23.0528,Guangdong,CN.GD
1393A,Xiapu Hengjiang 3rd Road Station,Huizhou,114.4053,23.0822,Guangdong,CN.GD
1394A,Jiangbei Yunshan West Road Station,Huizhou,114.4103,23.1142,Guangdong,CN.GD
1395A,"Chuanhuzi Station, Chengxiu Road, Huiyang District",Huizhou,114.4645,22.7833,Guangdong,CN.GD
1396A,Daya Bay Management Committee Substation,Huizhou,114.5317,22.7422,Guangdong,CN.GD
1397A,Mugangzi Station,Zhaoqing,112.4267,23.0706,Guangdong,CN.GD
1398A,Chengzhongzi Station,Zhaoqing,112.4645,23.0475,Guangdong,CN.GD
1399A,Kengkouzi Station,Zhaoqing,112.5544,23.1522,Guangdong,CN.GD
1400A,Qixingyanzi Station (control point),Zhaoqing,112.4753,23.1,Guangdong,CN.GD
1401A,Twenty-one,Nanning,108.3103,22.7881,Guangxi,CN.GX
1402A,North Lake,Nanning,108.3141,22.8528,Guangxi,CN.GX
1403A,City Monitoring Station,Nanning,108.3206,22.8225,Guangxi,CN.GX
1404A,Nature garden,Nanning,108.3829,22.8037,Guangxi,CN.GX
1405A,Fairy gourd (control point),Nanning,108.4394,22.7904,Guangxi,CN.GX
1406A,District Agricultural Vocational College,Nanning,108.2397,22.8467,Guangxi,CN.GX
1407A,Anglo Chinese Garden,Nanning,108.3275,22.735,Guangxi,CN.GX
1408A,Shajing Town Street Office,Nanning,108.2257,22.7757,Guangxi,CN.GX
1409A,Dongzhai Port (comparison point),Haikou,110.576,19.9507,Hainan,CN.HA
1410A,Hainan Univeristy,Haikou,110.3232,20.0574,Hainan,CN.HA
1411A,Xiuying Hainan Hospital,Haikou,110.283,20.0053,Hainan,CN.HA
1412A,Hainan Normal University,Haikou,110.338,19.9969,Hainan,CN.HA
1413A,Longhua Road Environmental Protection Bureau Dormitory,Haikou,110.33,20.0356,Hainan,CN.HA
1414A,Jinyun Mountain (reference point),Chongqing,106.3787,29.8279,Chongqing,CN.CQ
1415A,Gaojia Garden (out of service 161118),Chongqing,106.46,29.5736,Chongqing,CN.CQ
1416A,Born,Chongqing,106.4213,29.8253,Chongqing,CN.CQ
1417A,Two way,Chongqing,106.6263,29.7228,Chongqing,CN.CQ
1418A,Huxi,Chongqing,106.2953,29.5983,Chongqing,CN.CQ
1419A,Nanping,Chongqing,106.5777,29.5102,Chongqing,CN.CQ
1420A,Tang Jiatuo,Chongqing,106.6556,29.6277,Chongqing,CN.CQ
1421A,tea garden,Chongqing,106.6349,29.4906,Chongqing,CN.CQ
1422A,Baishiyi,Chongqing,106.3754,29.4572,Chongqing,CN.CQ
1423A,Jiefangbei (out of service 170928),Chongqing,106.571,29.5642,Chongqing,CN.CQ
1424A,Yangjiaping (out of service 161118),Chongqing,106.512,29.5164,Chongqing,CN.CQ
1425A,Airport,Chongqing,106.6205,29.7166,Chongqing,CN.CQ
1426A,Xinshan Village,Chongqing,106.4782,29.4875,Chongqing,CN.CQ
1427A,Li Jia,Chongqing,106.5616,29.6453,Chongqing,CN.CQ
1428A,Caijia,Chongqing,106.4522,29.7091,Chongqing,CN.CQ
1429A,Yuxin Street,Chongqing,106.5093,29.3917,Chongqing,CN.CQ
1430A,Nanquan (out of service 161119),Chongqing,106.591,29.4272,Chongqing,CN.CQ
1431A,Jinquan Lianghe,Chengdu,103.9728,30.7236,Sichuan,CN.SC
1432A,Shilidian,Chengdu,104.1419,30.6764,Sichuan,CN.SC
1433A,Three Wayao,Chengdu,104.0594,30.5767,Sichuan,CN.SC
1434A,Shahepu,Chengdu,104.1122,30.6306,Sichuan,CN.SC
1435A,Liangjiaxiang,Chengdu,104.074,30.685,Sichuan,CN.SC
1436A,Caotang Temple (Stopped),Chengdu,104.026,30.6544,Sichuan,CN.SC
1437A,Junping Street,Chengdu,104.0431,30.6556,Sichuan,CN.SC
1438A,Lingyan Temple (comparison point),Chengdu,103.6202,31.0201,Sichuan,CN.SC
1439A,Maanshan,Guiyang,106.6899,26.5998,Guizhou,CN.GZ
1440A,City Environmental Protection Station,Guiyang,106.6971,26.5694,Guizhou,CN.GZ
1441A,Jianhu Road,Guiyang,106.6243,26.6266,Guizhou,CN.GZ
1442A,Yanzi Chong,Guiyang,106.7487,26.6343,Guizhou,CN.GZ
1443A,Biyun Wo,Guiyang,106.6555,26.4365,Guizhou,CN.GZ
1444A,Middle courtyard village,Guiyang,106.694,26.5161,Guizhou,CN.GZ
1445A,Red side door,Guiyang,106.7109,26.6027,Guizhou,CN.GZ
1446A,Xinhua Road,Guiyang,106.7164,26.5699,Guizhou,CN.GZ
1447A,Tai Ciqiao,Guiyang,106.674,26.5424,Guizhou,CN.GZ
1449A,close,Kunming,102.743,25.0124,Yunnan,CN.YN
1450A,Chenggong New District,Kunming,102.8204,24.8886,Yunnan,CN.YN
1451A,Xishan Forest Park (control point),Kunming,102.6251,24.9608,Yunnan,CN.YN
1452A,Longquan Town,Kunming,102.7252,25.0902,Yunnan,CN.YN
1453A,Dongfeng East Road,Kunming,102.7266,25.0375,Yunnan,CN.YN
1454A,Jindingshan,Kunming,102.6742,25.0669,Yunnan,CN.YN
1455A,Biji Square,Kunming,102.6644,25.0401,Yunnan,CN.YN
1456A,Barkhor Street,Lhasa,91.1319,29.6514,Tibet,CN.XZ
1457A,Municipal Environmental Protection Bureau,Lhasa,91.1221,29.6747,Tibet,CN.XZ
1458A,District Monitoring Station,Lhasa,91.0874,29.6475,Tibet,CN.XZ
1459A,Tibet University,Lhasa,91.1774,29.6541,Tibet,CN.XZ
1460A,District radiation station,Lhasa,90.9798,29.6588,Tibet,CN.XZ
1461A,Lhasa Railway Station,Lhasa,91.0834,29.6292,Tibet,CN.XZ
1462A,High voltage switch factory,Xian,108.882,34.2749,Shaanxi,CN.SA
1463A,Xingqing District,Xian,108.993,34.2629,Shaanxi,CN.SA
1464A,Textile City,Xian,109.06,34.2572,Shaanxi,CN.SA
1465A,Xiaozhai,Xian,108.9356,34.2173,Shaanxi,CN.SA
1466A,People's Stadium,Xian,108.954,34.2713,Shaanxi,CN.SA
1467A,Hi-tech West District,Xian,108.8922,34.2322,Shaanxi,CN.SA
1468A,Economic Development Zone,Xian,108.935,34.3474,Shaanxi,CN.SA
1469A,Chang'an District,Xian,108.906,34.1546,Shaanxi,CN.SA
1470A,Yanliang District,Xian,109.2,34.6575,Shaanxi,CN.SA
1471A,Lintong District,Xian,109.2186,34.3731,Shaanxi,CN.SA
1472A,Caotan (control point),Xian,108.869,34.378,Shaanxi,CN.SA
1473A,Qujiang Cultural Industry Group,Xian,108.985,34.1978,Shaanxi,CN.SA
1474A,Guangyuntan,Xian,109.051,34.3213,Shaanxi,CN.SA
1475A,Staff hospital (20181115 shutdown),Lanzhou,103.7222,36.0812,Gansu,CN.GS
1476A,Lanlian Hotel,Lanzhou,103.631,36.1031,Gansu,CN.GS
1477A,Yuzhong Lan University Campus (control point),Lanzhou,104.1373,35.9454,Gansu,CN.GS
1478A,Biological Products Institute,Lanzhou,103.8412,36.0726,Gansu,CN.GS
1479A,Railway Design Institute,Lanzhou,103.831,36.0464,Gansu,CN.GS
1480A,Municipal Environmental Monitoring Station,Xining,101.748,36.6428,Qinghai,CN.QH
1481A,Provincial Medical Warehouse,Xining,101.749,36.6922,Qinghai,CN.QH
1482A,Silu Hospital,Xining,101.834,36.5819,Qinghai,CN.QH
1483A,The fifth water plant (comparison point),Xining,101.524,36.6867,Qinghai,CN.QH
1484A,"Maliankou, Helan Mountain (control point)",Yinchuan,105.9512,38.6016,Ningxia Hui,CN.NX
1485A,Silver Lake Lane (out of service 160703),Yinchuan,106.2682,38.4744,Ningxia Hui,CN.NX
1486A,Ning'an Street (out of service 160615),Yinchuan,106.217,38.4536,Ningxia Hui,CN.NX
1487A,Ninghua living area (out of operation 160703),Yinchuan,106.0715,38.4858,Ningxia Hui,CN.NX
1488A,Helan East Road,Yinchuan,106.2328,38.4975,Ningxia Hui,CN.NX
1489A,College Road,Yinchuan,106.1358,38.5036,Ningxia Hui,CN.NX
1490A,Monitoring station,Urumqi,87.5801,43.8303,Xinjiang Uygur,CN.XJ
1491A,Toll,Urumqi,87.6046,43.768,Xinjiang Uygur,CN.XJ
1492A,Farm of Xinjiang Academy of Agricultural Sciences (control point),Urumqi,87.4754,43.9469,Xinjiang Uygur,CN.XJ
1493A,Railway Bureau,Urumqi,87.5525,43.8711,Xinjiang Uygur,CN.XJ
1494A,31 Middle School,Urumqi,87.6432,43.831,Xinjiang Uygur,CN.XJ
1495A,Seventy Four Middle School,Urumqi,87.4171,43.8729,Xinjiang Uygur,CN.XJ
1496A,Midong District Environmental Protection Bureau,Urumqi,87.7216,44.1747,Xinjiang Uygur,CN.XJ
1508A,Bantang,Xiangtan,112.9433,27.8614,Hunan,CN.HN
1511A,City Monitoring Station,Xiangtan,112.9118,27.8403,Hunan,CN.HN
1512A,Jiang Lu,Xiangtan,112.8937,27.8728,Hunan,CN.HN
1513A,Yuetang,Xiangtan,112.9227,27.8159,Hunan,CN.HN
1514A,HKUST,Xiangtan,112.9074,27.9119,Hunan,CN.HN
1515A,Tiantai Villa,Zhuzhou,113.135,27.8244,Hunan,CN.HN
1518A,Zhuye Hospital,Zhuzhou,113.095,27.8867,Hunan,CN.HN
1519A,City Fourth Middle School,Zhuzhou,113.167,27.8667,Hunan,CN.HN
1520A,train station,Zhuzhou,113.143,27.8381,Hunan,CN.HN
1524A,City Monitoring Station,Zhuzhou,113.13,27.8528,Hunan,CN.HN
1552A,Tongmuling (control point),Guiyang,106.805,26.3003,Guizhou,CN.GZ
1559A,Dajing Scenic Area (control point),Zhuzhou,113.251,27.8336,Hunan,CN.HN
1562A,Zhaoshan,Xiangtan,113.0048,27.9153,Hunan,CN.HN
1564A,Shaoshan (control point),Xiangtan,112.4876,27.9164,Hunan,CN.HN
1585A,Municipal Environmental Monitoring Station,Baotou,109.8756,40.6532,Nei Mongol,CN.NM
1586A,Baobai Building (disabled 200107),Baotou,109.8104,40.6575,Nei Mongol,CN.NM
1587A,Baotou Eighth Middle School,Baotou,109.9991,40.5842,Nei Mongol,CN.NM
1588A,Qingshan Hotel,Baotou,109.8538,40.6821,Nei Mongol,CN.NM
1589A,Huilong Logistics,Baotou,109.8642,40.6288,Nei Mongol,CN.NM
1590A,Donghe Honglong Bay,Baotou,110.0377,40.5546,Nei Mongol,CN.NM
1591A,Comprehensive building,Ordos,110.0023,39.8129,Nei Mongol,CN.NM
1592A,Bayin Mengke Forest Farm Office,Ordos,109.9486,39.8261,Nei Mongol,CN.NM
1593A,Hong Zeyuan,Ordos,109.7736,39.5986,Nei Mongol,CN.NM
1594A,Huatai Auto City,Ordos,109.8119,39.5989,Nei Mongol,CN.NM
1595A,Olin Garden,Ordos,109.9734,39.7884,Nei Mongol,CN.NM
1596A,Xuefu South Road,Yingkou,122.2414,40.6592,Liaoning,CN.LN
1597A,Daqing Lu,Yingkou,122.2703,40.7094,Liaoning,CN.LN
1598A,Jinghu West Road,Yingkou,122.215,40.6511,Liaoning,CN.LN
1599A,West Fort,Yingkou,122.167,40.6655,Liaoning,CN.LN
1600A,Jiangwan East Road,Dandong,124.3303,40.0625,Liaoning,CN.LN
1601A,Linjiang Back Street,Dandong,124.4256,40.1503,Liaoning,CN.LN
1602A,Yuan Baoshan,Dandong,124.3933,40.1461,Liaoning,CN.LN
1603A,Democracy Bridge,Dandong,124.3633,40.1092,Liaoning,CN.LN
1604A,Development Zone,Panjin,122.0303,41.1489,Liaoning,CN.LN
1605A,Xinglongtai,Panjin,122.0485,41.0883,Liaoning,CN.LN
1606A,Xinsheng Street,Panjin,121.8297,41.1028,Liaoning,CN.LN
1607A,Longgang District,Huludao,120.9092,40.7136,Liaoning,CN.LN
1608A,Chemical Street,Huludao,120.8392,40.7514,Liaoning,CN.LN
1609A,New District,Huludao,120.8341,40.7073,Liaoning,CN.LN
1610A,Dongcheng Area,Huludao,120.8695,40.7677,Liaoning,CN.LN
1611A,Tushan Street,Quanzhou,118.5819,24.9117,Fujian,CN.FJ
1612A,Jintoupu,Quanzhou,118.5972,24.8978,Fujian,CN.FJ
1613A,Wan'an,Quanzhou,118.6663,24.9424,Fujian,CN.FJ
1614A,Qingyuan Mountain (control point),Quanzhou,118.6117,24.9604,Fujian,CN.FJ
1615A,Vegetable oil plant (out of operation 170603),Jinan,117.685,36.205,Shandong,CN.SD
1616A,Technology academy,Jinan,117.6795,36.229,Shandong,CN.SD
1617A,Sunrise International,Jinan,117.715,36.2081,Shandong,CN.SD
1618A,Yihe District,Linyi,118.3429,35.0532,Shandong,CN.SD
1619A,Lunan Pharmaceutical Factory,Linyi,118.295,35.0583,Shandong,CN.SD
1620A,Shin kwang woolen mill,Linyi,118.2794,34.9976,Shandong,CN.SD
1621A,Hedong insurance company,Linyi,118.3956,35.0888,Shandong,CN.SD
1622A,Children's playground,Texas,116.3032,37.4674,Shandong,CN.SD
1623A,Dark Horse Group,Texas,116.2729,37.4504,Shandong,CN.SD
1624A,Supervision Station,Texas,116.2991,37.4451,Shandong,CN.SD
1625A,District Government,Liaocheng,115.9848,36.4372,Shandong,CN.SD
1626A,Second light aircraft (discontinued),Liaocheng,115.9968,36.4568,Shandong,CN.SD
1627A,Party School (20190222 closed),Liaocheng,115.9835,36.4796,Shandong,CN.SD
1628A,Municipal Environmental Protection Bureau,Binzhou,118.0062,37.3803,Shandong,CN.SD
1629A,Second water plant,Binzhou,118.0018,37.3617,Shandong,CN.SD
1630A,Beizhong New School,Binzhou,117.9776,37.393,Shandong,CN.SD
1631A,People's Park,Zibo,118.0414,36.8103,Shandong,CN.SD
1632A,Dongfeng Chemical Plant,Zibo,118.0253,36.8406,Shandong,CN.SD
1633A,Shuangshan,Zibo,117.8525,36.4847,Shandong,CN.SD
1634A,Weather station,Zibo,117.9592,36.6331,Shandong,CN.SD
1635A,Putian Garden,Zibo,118.3092,36.8194,Shandong,CN.SD
1636A,Sanjin Group,Zibo,117.8661,36.805,Shandong,CN.SD
1637A,Shizhong District Government,Zaozhuang,117.558,34.8438,Shandong,CN.SD
1638A,Xuecheng Environmental Protection Bureau,Zaozhuang,117.2852,34.7837,Shandong,CN.SD
1639A,Yicheng District Government,Zaozhuang,117.5852,34.7745,Shandong,CN.SD
1640A,Taierzhuang District Environmental Protection Bureau,Zaozhuang,117.7276,34.5578,Shandong,CN.SD
1641A,Shanting District Environmental Protection Bureau,Zaozhuang,117.4518,35.0992,Shandong,CN.SD
1642A,Development Zone,Yantai,121.2514,37.5639,Shandong,CN.SD
1643A,Bearing factory,Yantai,121.3719,37.5433,Shandong,CN.SD
1644A,Xijiao Chemical Station,Yantai,121.3181,37.5436,Shandong,CN.SD
1645A,Laishan Environmental Protection Bureau,Yantai,121.4478,37.4822,Shandong,CN.SD
1646A,Fukuyama Environmental Protection Bureau,Yantai,121.2611,37.4967,Shandong,CN.SD
1647A,Muping Environmental Protection Bureau (out of operation 170519),Yantai,121.5953,37.3872,Shandong,CN.SD
1648A,Arbitration Commission,Weifang,119.12,36.7019,Shandong,CN.SD
1649A,Liu Jiayuan,Weifang,119.0919,36.7306,Shandong,CN.SD
1650A,Environmental Protection Agency,Weifang,119.1437,36.7023,Shandong,CN.SD
1651A,Gongda Company,Weifang,119.1614,36.6572,Shandong,CN.SD
1652A,Hanting Monitoring Station,Weifang,119.1936,36.7729,Shandong,CN.SD
1653A,Torch City,Jining,116.6251,35.4302,Shandong,CN.SD
1654A,Monitoring station (out of operation 200103),Jining,116.5856,35.4144,Shandong,CN.SD
1655A,Electrochemical plant,Jining,116.5491,35.4042,Shandong,CN.SD
1656A,Monitoring station,Taian,117.1437,36.1937,Shandong,CN.SD
1657A,Population school,Taian,117.0885,36.2017,Shandong,CN.SD
1658A,Electricity school,Taian,117.1089,36.1758,Shandong,CN.SD
1659A,Monitoring station,sunshine,119.471,35.4209,Shandong,CN.SD
1660A,City Hall Plaza,sunshine,119.523,35.4216,Shandong,CN.SD
1661A,Port Authority,sunshine,119.5587,35.4044,Shandong,CN.SD
1662A,Huaxia Technical School,Weihai,122.1214,37.4236,Shandong,CN.SD
1663A,Mountain University,Weihai,122.0508,37.5236,Shandong,CN.SD
1664A,City Monitoring Station,Weihai,122.1067,37.5072,Shandong,CN.SD
1665A,Xicheng Sunshine Environmental Protection Company,Dongying,118.5019,37.4658,Shandong,CN.SD
1666A,Municipal Environmental Protection Bureau,Dongying,118.6614,37.4309,Shandong,CN.SD
1667A,Gengjing Village (out of service 20201117),Dongying,118.5857,37.4442,Shandong,CN.SD
1668A,Guangnan Reservoir (out of service 170301),Dongying,118.8192,37.3781,Shandong,CN.SD
1669A,City Eighth Middle School,Shaoguan,113.5824,24.7733,Guangdong,CN.GD
1670A,Bihu Villa,Shaoguan,113.5556,24.8082,Guangdong,CN.GD
1671A,Garden Department,Shaoguan,113.5917,24.7972,Guangdong,CN.GD
1672A,Shaoguan University,Shaoguan,113.6735,24.7791,Guangdong,CN.GD
1673A,Qujiang Monitoring Station,Shaoguan,113.5971,24.6863,Guangdong,CN.GD
1674A,Jinpingzi Station,Shantou,116.6794,23.3667,Guangdong,CN.GD
1675A,Longhuzi Station,Shantou,116.7244,23.3633,Guangdong,CN.GD
1676A,Haojiangzi Station,Shantou,116.7258,23.2775,Guangdong,CN.GD
1677A,Chenghaizizhan,Shantou,116.7519,23.4714,Guangdong,CN.GD
1678A,Chaoyangzi Station,Shantou,116.6092,23.2539,Guangdong,CN.GD
1679A,Chaonanzizhan,Shantou,116.4069,23.2533,Guangdong,CN.GD
1680A,Zhanjiang Theater,Zhanjiang,110.3539,21.2706,Guangdong,CN.GD
1681A,Municipal Environmental Monitoring Station,Zhanjiang,110.3928,21.2228,Guangdong,CN.GD
1682A,Environmental Protection Bureau Dormitory,Zhanjiang,110.4019,21.1997,Guangdong,CN.GD
1683A,Xiashan Swimming Pool,Zhanjiang,110.4111,21.2028,Guangdong,CN.GD
1684A,Ma Zhang District Environmental Protection Bureau,Zhanjiang,110.3316,21.2679,Guangdong,CN.GD
1685A,Potou District Environmental Protection Bureau,Zhanjiang,110.4558,21.2567,Guangdong,CN.GD
1686A,Dianbai Nanhai,Maoming,111.0286,21.4688,Guangdong,CN.GD
1687A,Mao Petrochemical Seventh Elementary School,Maoming,110.9294,21.6533,Guangdong,CN.GD
1688A,Healthy road,Maoming,110.9107,21.6687,Guangdong,CN.GD
1689A,Gaoling,Maoming,110.8592,21.6828,Guangdong,CN.GD
1690A,Meijiang Yuemei,Meizhou,116.1231,24.3284,Guangdong,CN.GD
1691A,Meixian Xincheng,Meizhou,116.0797,24.2719,Guangdong,CN.GD
1692A,Environmental Monitoring Center,Meizhou,116.1248,24.2654,Guangdong,CN.GD
1693A,Municipal Environmental Protection Bureau,Shanwei,115.3653,22.775,Guangdong,CN.GD
1694A,City Hall,Shanwei,115.3706,22.7898,Guangdong,CN.GD
1695A,New Town Middle School,Shanwei,115.3622,22.7925,Guangdong,CN.GD
1696A,Yuanxi (control point),Heyuan,114.6778,23.7569,Guangdong,CN.GD
1697A,Dongpu,Heyuan,114.6944,23.7586,Guangdong,CN.GD
1698A,Old town,Heyuan,114.6892,23.7233,Guangdong,CN.GD
1699A,Mandarin Duck Lake (control point),Yangjiang,111.9797,21.8593,Guangdong,CN.GD
1700A,Nanen Road,Yangjiang,111.9508,21.8536,Guangdong,CN.GD
1701A,Manandong,Yangjiang,111.9491,21.8658,Guangdong,CN.GD
1702A,Environmental protection building (comparison point),Qingyuan,113.0426,23.691,Guangdong,CN.GD
1703A,Fengcheng Street Office,Qingyuan,113.0208,23.7106,Guangdong,CN.GD
1704A,High-tech Zone,Qingyuan,113.0622,23.6272,Guangdong,CN.GD
1705A,Xiyuan Road (comparison point),Chaozhou,116.6367,23.6719,Guangdong,CN.GD
1706A,Archives,Chaozhou,116.6447,23.6706,Guangdong,CN.GD
1707A,Municipal Corporation,Chaozhou,116.6175,23.6531,Guangdong,CN.GD
1708A,new,Jieyang,116.3701,23.5345,Guangdong,CN.GD
1709A,West Malaysia,Jieyang,116.3264,23.5443,Guangdong,CN.GD
1710A,Dongxing,Jieyang,116.3611,23.5626,Guangdong,CN.GD
1711A,Fishing lake,Jieyang,116.4151,23.5294,Guangdong,CN.GD
1712A,New City Hall (comparison point),Yunfu,112.0392,22.9169,Guangdong,CN.GD
1713A,City Monitoring Station,Yunfu,112.0369,22.9394,Guangdong,CN.GD
1714A,Shepherd,Yunfu,112.0539,22.9539,Guangdong,CN.GD
1715A,Dongfeng Reservoir,Yuxi,102.575,24.3711,Yunnan,CN.YN
1716A,City Monitoring Station,Yuxi,102.5433,24.3603,Yunnan,CN.YN
1717A,Dayingjie Zhen,Yuxi,102.4964,24.3411,Yunnan,CN.YN
1718A,Bureau of Meteorology,Heze,115.4208,35.2464,Shandong,CN.SD
1719A,CPPCC,Heze,115.4747,35.2375,Shandong,CN.SD
1720A,Heze University,Heze,115.455,35.27,Shandong,CN.SD
1721A,Fruit tree farm (control point),Datong,113.3819,40.1097,Shanxi,CN.SX
1722A,Hongqi Plaza (out of service 160601),Datong,113.2858,40.0958,Shanxi,CN.SX
1723A,Yungang Hotel,Datong,113.2994,40.0758,Shanxi,CN.SX
1724A,Datong University,Datong,113.3444,40.0917,Shanxi,CN.SX
1725A,Anjia Village,Datong,113.2661,40.1269,Shanxi,CN.SX
1726A,College of Education,Datong,113.2711,40.0844,Shanxi,CN.SX
1727A,Tsinghua Station,Changzhi,113.1147,36.1547,Shanxi,CN.SX
1728A,Monitoring station,Changzhi,113.1031,36.1989,Shanxi,CN.SX
1729A,Orient,Changzhi,113.1466,36.1961,Shanxi,CN.SX
1730A,Audit Bureau,Changzhi,113.0886,36.2125,Shanxi,CN.SX
1731A,Changzhi Eighth Middle School,Changzhi,113.0844,36.1856,Shanxi,CN.SX
1732A,City Monitoring Station (out of service 161122),Linfen,111.5125,36.0978,Shanxi,CN.SX
1733A,Lingang Hospital,Linfen,111.5531,36.0783,Shanxi,CN.SX
1734A,Technical School,Linfen,111.5028,36.0714,Shanxi,CN.SX
1735A,Business school,Linfen,111.5169,36.0822,Shanxi,CN.SX
1736A,Municipal Party Committee,Linfen,111.5018,36.0855,Shanxi,CN.SX
1737A,Yaomiao Town (out of service 191230),Linfen,111.4917,36.0417,Shanxi,CN.SX
1738A,city ​​center,Yangquan,113.5758,37.8572,Shanxi,CN.SX
1739A,Game fish,Yangquan,113.4894,37.8731,Shanxi,CN.SX
1740A,Nanzhuang,Yangquan,113.5819,37.8486,Shanxi,CN.SX
1741A,Baiyangshu,Yangquan,113.6292,37.8531,Shanxi,CN.SX
1742A,flat,Yangquan,113.5614,37.8703,Shanxi,CN.SX
1743A,Dayangquan,Yangquan,113.5158,37.8392,Shanxi,CN.SX
1744A,Songshan No.1 Middle School,Chifeng,118.9233,42.2816,Nei Mongol,CN.NM
1745A,Hatta Street,Chifeng,118.9576,42.2728,Nei Mongol,CN.NM
1746A,Tianyi Road,Chifeng,118.8788,42.2554,Nei Mongol,CN.NM
1747A,Songshan Road,Chifeng,119.2719,42.0317,Nei Mongol,CN.NM
1748A,Shengou Temple,Anshan,123.044,41.1196,Liaoning,CN.LN
1749A,Sun City,Anshan,123.011,41.0931,Liaoning,CN.LN
